osm_id;nombre;operador;voltaje;latitud;longitud
145821099;SET Escucha;Red Eléctrica de España;220000;40,7962677;-0,8159285
145823171;Subestación PE Escucha;;220000;40,770473;-0,8271518
145823172;Subestación de Mezquita;Red Eléctrica de España;"400000;220000";40,7241653;-0,8493918
146060514;Subestación Sierra Costera;Enel;;40,7131198;-0,902351
147958115;SET Central de Vallat;;"132000;20000";40,0292623;-0,3306567
148316752;SET Bonete;;66000;38,8850702;-1,3502482
148961316;Subestación Corvera;Iberdrola Distribución Eléctrica;"132000;20000";37,8427074;-1,1446726
148971843;SE PE Abuela Santa Ana;;"132000;30000";39,0671387;-1,4903641
150661577;;;;40,2134195;0,062484
150937454;;;;38,9674755;-1,5678696
151369191;Subestación de La Punta;Iberdrola;"132000;20000";39,4392058;-0,3417215
156038856;Subestación Parque de Levante;Iberdrola Distribución Eléctrica;"132000;200000";37,9846225;-1,1068133
156435509;Converter HVDC de Morvedre;;"400000;250000";39,6410992;-0,2354165
158174233;Solar Bonete;;132000;38,8839536;-1,3325639
161847863;STR Villavaliente;;"66000;20000";39,1355619;-1,4536526
161952698;;;;40,3516645;-1,1094016
162557700;El Bosque;;66000;39,2046926;-1,342417
162601272;Subestación de Higueruela;Iberdrola;132000;38,9812072;-1,4445607
163702953;Almansa;Iberdrola;"132000;66000;20000";38,8523869;-1,0870255
165383854;;;132000;39,0783599;-1,3176178
165385943;SET Parque Eólico Muela de Tortosilla;;132000;39,0286932;-1,2377166
165385945;El Relumbar;;132000;39,0220975;-1,3407343
165516495;Subestación de Casas-Ibáñez;;"132000;66000";39,2738676;-1,4712569
165517087;Subestación de Cofrentes;;132000;39,2479571;-1,0942421
167457211;;;;38,1356983;-0,6772263
167624242;SET Caudete;;66000;38,7117614;-0,9602848
167677016;SET Oliva;;66000;38,756358;-1,0117246
167874037;SET La Encina;Adif;66000;38,7628622;-0,9516324
167884407;;;66000;38,7579737;-0,9731405
168562405;Parque Eólico Malefatoón;;132000;39,026465;-1,3968421
168610672;;;;39,5010087;-0,3794859
168985251;;;;38,7593846;-1,5757779
168987553;SET La Muela;;132000;38,7659393;-1,5128474
169616880;Subestación de Elda;;"220000;66000;20000";38,5000795;-0,7909704
171251565;Subestación de Rocamora;Iberdrola Distribución Eléctrica;"400000;132000;66000";38,1477983;-0,9462063
171256169;ST Beneixama;Red Eléctrica de España;"400000;220000;132000";38,7190069;-0,7225554
171260466;;;;38,9773616;-0,9679068
171274139;SET Saladas;Red Eléctrica de España;"220000;132000";38,2993021;-0,6201756
171277174;SET Elche HC;Red Eléctrica de España;220000;38,2645478;-0,6361633
171277691;Subestación de Rojales;Red Eléctrica de España;220000;38,0562571;-0,7368168
171419971;Subestación de Xixona;Red Eléctrica de España;220000;38,491748;-0,4773264
171419975;SET Cantalar;;"220000;20000";38,4245077;-0,4204924
171433651;SET Valle de Cárcer;Red Eléctrica de España;"220000;20000";39,0613504;-0,5212459
171442816;Subestación de l'Albal;Iberdrola;220000;39,3976864;-0,4452353
171537720;SET El Pameral;;"220000;20000";38,3287145;-0,5192996
171544192;;;;39,4213685;-0,4511905
171544194;Central Electrica del Salto de Millares;;220000;39,2240715;-0,7184762
171549323;;;"220000;66000";38,4389793;-0,7821322
171556372;;Red Eléctrica de España;220000;39,1330082;-0,4143971
171642115;Matrona;Iberdrola;;39,2807188;-0,8645649
171642119;Buñol;Iberdrola;"132000;66000;20000";39,4209047;-0,7771386
175612093;SET PE Los Pedreros;;132000;38,7142302;-1,3936356
176481627;;;;38,1273039;-0,6961738
179718877;;;;39,4700157;-0,6063696
180159004;STR Requena;i-DE;"66000;20000";39,4850889;-1,1431859
180255962;Subestacion electrica Collado;Iberdrola;"132000;20000";39,262532;-0,9300001
180292144;;;;39,4477338;-1,2088619
181588881;;;;39,4941956;-0,4732276
185549143;SET Cabanyal;;"132000;20000";39,4833256;-0,3380786
186942438;Subestació del Grau;Iberdrola;"220000;132000;66000;20000";39,4563833;-0,3328735
188488579;;;;38,1297935;-0,6785829
188488813;;;;38,1317924;-0,6766074
189045154;;;;38,1268717;-0,6860971
193793262;Subestación Espinardo;Iberdrola Distribución Eléctrica;"220000;132000;66000;20000;11000";38,0166565;-1,1577902
198642824;ST La Rambleta;Iberdrola;"132000;66000;20000";39,8386194;-0,1842999
198642826;STR Moncofa;Iberdrola;"66000;20000";39,8150273;-0,1629106
204708308;SET PE Boqueron;;;39,1715483;-1,236959
205774224;;Iberdrola;;39,2142218;-1,0545341
205939525;;Adif;66000;39,6621877;-0,2527038
205939527;SET Sagunt Grau;;66000;39,6531447;-0,2238437
206495188;;;;38,8895229;-0,0829457
210116384;;;;38,3990773;-0,4295185
210394732;SET Alcalá de Xivert;;"132000;20000";40,3056048;0,2296576
213582467;;;;39,4707584;-0,610242
213867814;;;;39,4700874;-0,6108145
216269642;SET Massanassa;;"132000;20000";39,4031624;-0,3761073
216853020;Subestación de Silla;Iberdrola;"132000;66000;20000";39,3592864;-0,4037669
217878248;Subestació de Tortosa;Endesa;"110000;25000";40,7989025;0,5255659
223535821;SET PE Sirra de Mira;;132000;39,7284377;-1,3819356
223761171;;;132000;38,7324681;-1,1827995
223761172;Subestación PE Reventones;;132000;38,6811579;-1,4047598
223762049;Subestación Sierra del Buey;;"132000;20000";38,5291962;-1,2498469
225592052;Las Viñas;Iberdrola;"66000;20000";39,2576776;-0,9457312
227206832;Tuejár;Iberdrola;66000;39,7760896;-1,0568867
228983583;Losa de Obispo;Iberdrola;"66000;20000";39,6933419;-0,8672361
228983585;Chulilla;Iberdrola;66000;39,6357713;-0,8772845
229060976;Gestalgar;Iberdrola;66000;39,6046458;-0,7952443
229184275;;;"400000;132000";38,5232003;-1,3328118
231695159;Subestación Elda - Renfe;;66000;38,4839635;-0,8013931
234787100;CT2;;;38,7493629;-0,5521514
239456495;;;;37,9703702;-1,2247297
245007624;;;;38,8306836;0,0655944
251218310;;;;39,940382;-1,0637758
253240032;Subestación La Yesa;;132000;39,9229676;-0,9410349
255762160;Tranco de Lobo;;66000;39,2052159;-1,3077815
256017783;SET Vergel;Iberdrola;"132000;66000;20000";38,8504374;0,003847
258916144;Subestación PE Valdeconejos;;"220000;30000";40,7929455;-0,8819157
261594435;Subestación de Valldigna;"Red Eléctrica de España;Iberdrola";"220000;20000";39,0609302;-0,279152
262078033;SET Monreal;Endesa;"45000;20000";40,7793657;-1,3435608
263943736;SET Castello de Rugat;;"66000;20000";38,8680739;-0,391457
265408693;Cortes II;Iberdrola;400000;39,2627061;-0,9190459
267063580;;;;38,3462931;-0,7683775
272047820;;Iberdrola;132000;38,9974711;-0,5796466
272395304;SET Jávea;Iberdrola;"132000;20000";38,7783661;0,1303361
