osm_id;nombre;operador;voltaje;latitud;longitud;lat;lon;tipo_activo;tipo_apoyo;nivel_peligrosidad_patricova;dentro_zona_inundable;peligrosidad_ordinal;distancia_zona_inundable_m;provincia;velocidad_viento_ms;densidad_apoyos_5km;cluster
99867908;;Iberdrola;66000;39,3500123;-0,3232079;39.3500123;-0.3232079;subestacion;;;False;0;52.5;Valencia;4.89;170;6
107849996;Subestación PE Folch;Acciona Energía;132000;40,4681963;-0,2107236;40.4681963;-0.2107236;subestacion;;;False;0;2621.6;Castellón;7.966;109;1
108209183;Subestación Embalague;Acciona Energía;;40,5342987;-0,2817547;40.5342987;-0.2817547;subestacion;;;False;0;4384.0;Castellón;8.351;119;1
126881765;Subestación de Morella;Iberdrola;"400000;132000";40,6109786;-0,1953969;40.6109786;-0.1953969;subestacion;;;False;0;222.1;Castellón;4.687;215;1
126987023;Subestación de Catadau;Red Eléctrica de España;"400000;220000;132000";39,2502393;-0,5608484;39.2502393;-0.5608484;subestacion;;;False;0;990.3;Valencia;4.093;161;6
127249103;ST Villamarchante;Iberdrola;"132000;66000;20000";39,5551893;-0,5935501;39.5551893;-0.5935501;subestacion;;;False;0;199.6;Valencia;3.837;265;6
127528728;SET Vall d'Uixo Futura;Iberdrola;"220000;20000";39,7935202;-0,2215715;39.7935202;-0.2215715;subestacion;;;False;0;1319.3;Castellón;3.563;700;4
127528763;C. Olivar;Iberdrola;"66000;20000";39,5456013;-0,423081;39.5456013;-0.423081;subestacion;;;False;0;643.7;Valencia;4.057;451;4
127528764;Vinalesa;Iberdrola;132000;39,5339877;-0,3672595;39.5339877;-0.3672595;subestacion;;;False;0;463.1;Valencia;4.178;285;6
127528769;Subestación de Segorbe;Red Eléctrica de España;"220000;66000;20000";39,8274375;-0,4565096;39.8274375;-0.4565096;subestacion;;;False;0;665.6;Castellón;3.964;505;4
127528771;SET Puzol;Iberdrola;66000;39,6233456;-0,3204961;39.6233456;-0.3204961;subestacion;;;False;0;1273.3;Valencia;4.123;350;6
127567170;;Iberdrola;"132000;20000";39,9190062;-0,1066555;39.9190062;-0.1066555;subestacion;;;False;0;202.3;Castellón;3.605;1016;3
127605081;Subestación Benadresa;Iberdrola;220000;40,003125;-0,0863329;40.003125;-0.0863329;subestacion;;;False;0;629.0;Castellón;3.396;1003;3
127637375;ST Corral del Corb;Iberdrola;"132000;66000;20000";40,0133178;-0,1883472;40.0133178;-0.1883472;subestacion;;;False;0;1853.4;Castellón;2.983;760;4
127637385;;Iberdrola;;40,166637;-0,0054582;40.166637;-0.0054582;subestacion;;;False;0;16.2;Castellón;4.313;455;2
127637386;ST San Joan de Moró;Red Eléctrica de España;"132000;20000";40,0580211;-0,1275928;40.0580211;-0.1275928;subestacion;;;False;0;2866.5;Castellón;3.063;594;2
127922062;;Iberdrola;"400000;220000";39,6491683;-0,2474129;39.6491683;-0.2474129;subestacion;;;False;0;1049.4;Valencia;4.459;403;4
131323213;;Subestación HVDC de Morvedre;;39,6406903;-0,2377207;39.6406903;-0.2377207;subestacion;;;False;0;248.1;Valencia;4.601;249;6
133524568;SET Benicarló;Iberdrola;"132000;66000;20000";40,4319402;0,4034696;40.4319402;0.4034696;subestacion;;;False;0;375.5;Castellón;4.705;386;2
135012943;STR Torreblanca;Iberdrola;"66000;20000";40,2052683;0,1789746;40.2052683;0.1789746;subestacion;;;False;0;1931.1;Castellón;3.862;600;2
136103225;SET Atzanta del Maestrat;Iberdrola;"66000;20000";40,2182371;-0,1743133;40.2182371;-0.1743133;subestacion;;;False;0;511.5;Castellón;3.713;376;1
136215271;SET L'Alcora;Iberdrola;"66000;20000";40,0720093;-0,2081495;40.0720093;-0.2081495;subestacion;;;False;0;185.2;Castellón;2.779;568;2
137705728;SET Benassal;Iberdrola;"66000;20000";40,377307;-0,1374486;40.377307;-0.1374486;subestacion;;;False;0;2476.6;Castellón;5.083;374;1
139517539;SET El Colmenar;;"66000;20000";39,9978339;-0,2306602;39.9978339;-0.2306602;subestacion;;;False;0;232.6;Castellón;2.921;628;4
139517552;SET Onda;Iberdrola;"66000;20000";39,9754712;-0,2308766;39.9754712;-0.2308766;subestacion;;;False;0;108.3;Castellón;3.674;529;2
143860933;SET Villafranca del Cid;Iberdrola;66000;40,4331976;-0,2497095;40.4331976;-0.2497095;subestacion;;;False;0;5868.2;Castellón;7.267;176;1
144033970;;Red Eléctrica de España;;39,9584728;-0,0024024;39.9584728;-0.0024024;subestacion;;6.0;True;1;0.0;Castellón;3.895;784;2
144777809;SET Betxí;Iberdrola;"220000;20000";39,9281747;-0,1779694;39.9281747;-0.1779694;subestacion;;6.0;True;1;0.0;Castellón;3.498;550;2
144926472;Subestación San Miguel de Salinas;Iberdrola Distribución Eléctrica;220000;38,0002618;-0,7656612;38.0002618;-0.7656612;subestacion;;;False;0;1218.5;Alicante;4.878;466;8
144926486;Subestación de Campoamor;;220000;37,9071742;-0,7835717;37.9071742;-0.7835717;subestacion;;;False;0;2237.4;Alicante;5.244;272;8
144931782;Subestación de Ayora;Red Eléctrica de España;400000;39,0413662;-1,0074237;39.0413662;-1.0074237;subestacion;;;False;0;3305.0;Valencia;4.139;107;5
144933376;Subestación de Requena;Red Eléctrica de España;400000;39,4592224;-0,9882242;39.4592224;-0.9882242;subestacion;;;False;0;247.0;Valencia;4.919;82;5
144940509;Requena;Adif;"400000;25000";39,465958;-0,9705731;39.465958;-0.9705731;subestacion;;;False;0;1578.4;Valencia;5.106;100;5
145643953;;;;39,202124;-0,3180946;39.202124;-0.3180946;subestacion;;;False;0;476.6;Valencia;4.198;87;6
147958115;SET Central de Vallat;;"132000;20000";40,0292623;-0,3306567;40.0292623;-0.3306567;subestacion;;;False;0;30.0;Castellón;3.519;280;1
150661577;;;;40,2134195;0,062484;40.2134195;0.062484;subestacion;;;False;0;1547.7;Castellón;4.888;297;2
151369191;Subestación de La Punta;Iberdrola;"132000;20000";39,4392058;-0,3417215;39.4392058;-0.3417215;subestacion;;;False;0;1055.2;Valencia;4.311;283;6
156435509;Converter HVDC de Morvedre;;"400000;250000";39,6410992;-0,2354165;39.6410992;-0.2354165;subestacion;;;False;0;307.6;Valencia;4.511;232;6
165517087;Subestación de Cofrentes;;132000;39,2479571;-1,0942421;39.2479571;-1.0942421;subestacion;;1.0;True;6;0.0;Valencia;3.188;96;5
167457211;;;;38,1356983;-0,6772263;38.1356983;-0.6772263;subestacion;;;False;0;742.7;Alicante;4.681;117;8
167874037;SET La Encina;Adif;66000;38,7628622;-0,9516324;38.7628622;-0.9516324;subestacion;;;False;0;1575.0;Alicante;5.642;48;8
168610672;;;;39,5010087;-0,3794859;39.5010087;-0.3794859;subestacion;;;False;0;807.3;Valencia;4.001;343;6
169616880;Subestación de Elda;;"220000;66000;20000";38,5000795;-0,7909704;38.5000795;-0.7909704;subestacion;;;False;0;385.5;Alicante;4.623;120;8
171251565;Subestación de Rocamora;Iberdrola Distribución Eléctrica;"400000;132000;66000";38,1477983;-0,9462063;38.1477983;-0.9462063;subestacion;;;False;0;809.9;Alicante;3.654;233;8
171256169;ST Beneixama;Red Eléctrica de España;"400000;220000;132000";38,7190069;-0,7225554;38.7190069;-0.7225554;subestacion;;;False;0;863.8;Alicante;4.224;185;8
171260466;;;;38,9773616;-0,9679068;38.9773616;-0.9679068;subestacion;;;False;0;9551.7;Valencia;6.016;57;5
171274139;SET Saladas;Red Eléctrica de España;"220000;132000";38,2993021;-0,6201756;38.2993021;-0.6201756;subestacion;;;False;0;3285.9;Alicante;4.677;122;8
171277174;SET Elche HC;Red Eléctrica de España;220000;38,2645478;-0,6361633;38.2645478;-0.6361633;subestacion;;;False;0;1854.2;Alicante;4.492;80;8
171277691;Subestación de Rojales;Red Eléctrica de España;220000;38,0562571;-0,7368168;38.0562571;-0.7368168;subestacion;;;False;0;2322.9;Alicante;4.46;501;8
171419971;Subestación de Xixona;Red Eléctrica de España;220000;38,491748;-0,4773264;38.491748;-0.4773264;subestacion;;;False;0;4846.5;Alicante;5.083;131;8
171419975;SET Cantalar;;"220000;20000";38,4245077;-0,4204924;38.4245077;-0.4204924;subestacion;;;False;0;194.7;Alicante;4.093;18;8
171433651;SET Valle de Cárcer;Red Eléctrica de España;"220000;20000";39,0613504;-0,5212459;39.0613504;-0.5212459;subestacion;;;False;0;594.5;Valencia;2.815;98;6
171442816;Subestación de l'Albal;Iberdrola;220000;39,3976864;-0,4452353;39.3976864;-0.4452353;subestacion;;;False;0;925.6;Valencia;4.22;495;4
171537720;SET El Pameral;;"220000;20000";38,3287145;-0,5192996;38.3287145;-0.5192996;subestacion;;;False;0;391.2;Alicante;4.289;41;8
171544192;;;;39,4213685;-0,4511905;39.4213685;-0.4511905;subestacion;;;False;0;656.3;Valencia;4.146;532;4
171544194;Central Electrica del Salto de Millares;;220000;39,2240715;-0,7184762;39.2240715;-0.7184762;subestacion;;;False;0;7577.8;Valencia;3.267;71;5
171549323;;;"220000;66000";38,4389793;-0,7821322;38.4389793;-0.7821322;subestacion;;;False;0;2006.9;Alicante;4.962;49;8
171556372;;Red Eléctrica de España;220000;39,1330082;-0,4143971;39.1330082;-0.4143971;subestacion;;5.0;True;2;0.0;Valencia;2.95;244;6
171642115;Matrona;Iberdrola;;39,2807188;-0,8645649;39.2807188;-0.8645649;subestacion;;;False;0;829.6;Valencia;5.35;192;5
171642119;Buñol;Iberdrola;"132000;66000;20000";39,4209047;-0,7771386;39.4209047;-0.7771386;subestacion;;;False;0;1987.5;Valencia;4.22;238;5
176481627;;;;38,1273039;-0,6961738;38.1273039;-0.6961738;subestacion;;2.0;True;5;0.0;Alicante;4.301;149;8
179718877;;;;39,4700157;-0,6063696;39.4700157;-0.6063696;subestacion;;;False;0;1141.7;Valencia;3.745;22;6
180159004;STR Requena;i-DE;"66000;20000";39,4850889;-1,1431859;39.4850889;-1.1431859;subestacion;;;False;0;830.2;Valencia;4.758;201;5
180255962;Subestacion electrica Collado;Iberdrola;"132000;20000";39,262532;-0,9300001;39.262532;-0.9300001;subestacion;;;False;0;6819.5;Valencia;5.655;258;5
180292144;;;;39,4477338;-1,2088619;39.4477338;-1.2088619;subestacion;;;False;0;2859.5;Valencia;4.477;21;5
181588881;;;;39,4941956;-0,4732276;39.4941956;-0.4732276;subestacion;;;False;0;588.2;Valencia;3.85;915;4
185549143;SET Cabanyal;;"132000;20000";39,4833256;-0,3380786;39.4833256;-0.3380786;subestacion;;;False;0;257.7;Valencia;4.195;204;6
186942438;Subestació del Grau;Iberdrola;"220000;132000;66000;20000";39,4563833;-0,3328735;39.4563833;-0.3328735;subestacion;;;False;0;142.5;Valencia;4.17;227;6
188488579;;;;38,1297935;-0,6785829;38.1297935;-0.6785829;subestacion;;;False;0;476.8;Alicante;4.511;143;8
188488813;;;;38,1317924;-0,6766074;38.1317924;-0.6766074;subestacion;;;False;0;546.5;Alicante;4.677;128;8
189045154;;;;38,1268717;-0,6860971;38.1268717;-0.6860971;subestacion;;;False;0;173.7;Alicante;4.553;153;8
198642824;ST La Rambleta;Iberdrola;"132000;66000;20000";39,8386194;-0,1842999;39.8386194;-0.1842999;subestacion;;;False;0;812.2;Castellón;3.354;686;4
198642826;STR Moncofa;Iberdrola;"66000;20000";39,8150273;-0,1629106;39.8150273;-0.1629106;subestacion;;;False;0;440.4;Castellón;3.658;742;4
205774224;;Iberdrola;;39,2142218;-1,0545341;39.2142218;-1.0545341;subestacion;;;False;0;243.8;Valencia;2.361;109;5
205939525;;Adif;66000;39,6621877;-0,2527038;39.6621877;-0.2527038;subestacion;;;False;0;1943.1;Valencia;4.374;532;4
205939527;SET Sagunt Grau;;66000;39,6531447;-0,2238437;39.6531447;-0.2238437;subestacion;;;False;0;1402.6;Valencia;4.343;280;6
206495188;;;;38,8895229;-0,0829457;38.8895229;-0.0829457;subestacion;;;False;0;232.0;Valencia;4.333;21;7
210116384;;;;38,3990773;-0,4295185;38.3990773;-0.4295185;subestacion;;;False;0;1547.1;Alicante;3.933;18;8
210394732;SET Alcalá de Xivert;;"132000;20000";40,3056048;0,2296576;40.3056048;0.2296576;subestacion;;;False;0;187.4;Castellón;4.829;416;2
213582467;;;;39,4707584;-0,610242;39.4707584;-0.610242;subestacion;;;False;0;1094.5;Valencia;4.119;27;6
213867814;;;;39,4700874;-0,6108145;39.4700874;-0.6108145;subestacion;;;False;0;1176.8;Valencia;4.119;27;6
216269642;SET Massanassa;;"132000;20000";39,4031624;-0,3761073;39.4031624;-0.3761073;subestacion;;6.0;True;1;0.0;Valencia;4.105;717;4
216853020;Subestación de Silla;Iberdrola;"132000;66000;20000";39,3592864;-0,4037669;39.3592864;-0.4037669;subestacion;;;False;0;536.0;Valencia;4.19;373;6
225592052;Las Viñas;Iberdrola;"66000;20000";39,2576776;-0,9457312;39.2576776;-0.9457312;subestacion;;;False;0;7722.0;Valencia;4.325;247;5
227206832;Tuejár;Iberdrola;66000;39,7760896;-1,0568867;39.7760896;-1.0568867;subestacion;;;False;0;889.4;Valencia;4.417;140;5
228983583;Losa de Obispo;Iberdrola;"66000;20000";39,6933419;-0,8672361;39.6933419;-0.8672361;subestacion;;;False;0;1650.8;Valencia;4.293;184;5
228983585;Chulilla;Iberdrola;66000;39,6357713;-0,8772845;39.6357713;-0.8772845;subestacion;;;False;0;27.3;Valencia;2.651;171;5
229060976;Gestalgar;Iberdrola;66000;39,6046458;-0,7952443;39.6046458;-0.7952443;subestacion;;2.0;True;5;0.0;Valencia;3.716;44;5
